frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.74,-3.62,-2.74,2.72,2.32,0.66,-0.89,-0.90,-0.88
20.20,-3.58,-2.69,-3.58,-2.68,2.68,2.30,0.68,-0.90,-0.90,-0.90
20.40,-3.54,-2.65,-3.53,-2.63,2.64,2.29,0.71,-0.91,-0.90,-0.90
20.61,-3.48,-2.59,-3.49,-2.59,2.60,2.27,0.73,-0.89,-0.89,-0.90
20.81,-3.43,-2.53,-3.44,-2.54,2.56,2.25,0.75,-0.88,-0.88,-0.90
21.02,-3.39,-2.49,-3.39,-2.50,2.52,2.24,0.77,-0.87,-0.87,-0.90
21.23,-3.35,-2.48,-3.35,-2.47,2.48,2.22,0.79,-0.87,-0.87,-0.87
21.44,-3.30,-2.44,-3.31,-2.45,2.45,2.20,0.82,-0.86,-0.86,-0.86
21.66,-3.26,-2.42,-3.26,-2.42,2.42,2.18,0.84,-0.85,-0.85,-0.84
21.87,-3.21,-2.40,-3.21,-2.39,2.38,2.17,0.87,-0.83,-0.82,-0.81
22.09,-3.15,-2.34,-3.15,-2.36,2.35,2.15,0.89,-0.80,-0.80,-0.81
22.31,-3.09,-2.33,-3.10,-2.32,2.32,2.13,0.92,-0.77,-0.78,-0.76
22.54,-3.04,-2.28,-3.05,-2.28,2.29,2.11,0.95,-0.76,-0.76,-0.76
22.76,-3.01,-2.25,-3.01,-2.25,2.25,2.09,0.98,-0.76,-0.75,-0.76
22.99,-2.96,-2.20,-2.97,-2.21,2.21,2.07,1.00,-0.75,-0.76,-0.76
23.22,-2.93,-2.17,-2.94,-2.17,2.17,2.06,1.03,-0.76,-0.76,-0.76
23.45,-2.90,-2.14,-2.90,-2.14,2.14,2.04,1.06,-0.77,-0.77,-0.76
23.69,-2.87,-2.11,-2.87,-2.11,2.10,2.02,1.09,-0.77,-0.77,-0.76
23.92,-2.83,-2.07,-2.83,-2.07,2.07,2.00,1.13,-0.76,-0.76,-0.76
24.16,-2.78,-2.02,-2.79,-2.03,2.04,1.98,1.16,-0.75,-0.76,-0.76
24.40,-2.75,-1.99,-2.75,-1.99,2.00,1.96,1.19,-0.75,-0.75,-0.76
24.65,-2.72,-1.97,-2.72,-1.97,1.97,1.95,1.22,-0.76,-0.75,-0.75
24.89,-2.67,-1.96,-2.68,-1.95,1.93,1.93,1.25,-0.74,-0.74,-0.71
25.14,-2.63,-1.92,-2.63,-1.91,1.90,1.91,1.29,-0.74,-0.73,-0.72
25.39,-2.57,-1.86,-2.58,-1.86,1.86,1.89,1.32,-0.71,-0.72,-0.72
25.65,-2.52,-1.81,-2.53,-1.82,1.82,1.87,1.35,-0.70,-0.71,-0.72
25.91,-2.50,-1.79,-2.49,-1.78,1.79,1.85,1.39,-0.72,-0.71,-0.72
26.16,-2.46,-1.75,-2.47,-1.75,1.75,1.83,1.42,-0.71,-0.72,-0.72
26.43,-2.43,-1.72,-2.44,-1.71,1.71,1.82,1.45,-0.72,-0.72,-0.72
26.69,-2.42,-1.69,-2.41,-1.68,1.68,1.80,1.49,-0.74,-0.73,-0.74
26.96,-2.37,-1.64,-2.39,-1.65,1.66,1.78,1.52,-0.72,-0.73,-0.74
27.23,-2.37,-1.63,-2.37,-1.62,1.63,1.76,1.55,-0.74,-0.73,-0.74
27.50,-2.33,-1.59,-2.34,-1.61,1.61,1.74,1.58,-0.73,-0.73,-0.74
27.77,-2.33,-1.61,-2.33,-1.60,1.58,1.72,1.61,-0.75,-0.74,-0.72
28.05,-2.29,-1.57,-2.30,-1.58,1.56,1.71,1.64,-0.73,-0.74,-0.72
28.33,-2.28,-1.56,-2.28,-1.55,1.55,1.69,1.66,-0.74,-0.73,-0.72
28.62,-2.24,-1.52,-2.24,-1.52,1.53,1.67,1.69,-0.72,-0.72,-0.72
28.90,-2.20,-1.49,-2.21,-1.51,1.51,1.65,1.71,-0.69,-0.70,-0.71
29.19,-2.18,-1.51,-2.18,-1.49,1.50,1.63,1.73,-0.68,-0.68,-0.68
29.48,-2.14,-1.50,-2.14,-1.49,1.49,1.61,1.75,-0.65,-0.65,-0.65
29.78,-2.09,-1.48,-2.10,-1.49,1.49,1.60,1.77,-0.61,-0.61,-0.62
30.08,-2.05,-1.49,-2.05,-1.48,1.49,1.58,1.78,-0.56,-0.56,-0.57
30.38,-2.00,-1.49,-2.01,-1.49,1.50,1.56,1.79,-0.51,-0.51,-0.51
30.68,-1.96,-1.50,-1.96,-1.51,1.51,1.54,1.80,-0.45,-0.45,-0.46
30.99,-1.91,-1.52,-1.92,-1.52,1.52,1.53,1.81,-0.39,-0.39,-0.39
31.30,-1.87,-1.54,-1.87,-1.54,1.54,1.51,1.81,-0.34,-0.34,-0.33
31.61,-1.83,-1.54,-1.83,-1.54,1.54,1.49,1.82,-0.29,-0.29,-0.29
31.93,-1.80,-1.56,-1.81,-1.55,1.54,1.47,1.82,-0.26,-0.26,-0.25
32.24,-1.77,-1.53,-1.78,-1.56,1.53,1.46,1.81,-0.24,-0.25,-0.25
32.57,-1.76,-1.57,-1.75,-1.54,1.52,1.44,1.81,-0.25,-0.24,-0.20
32.89,-1.72,-1.52,-1.72,-1.51,1.49,1.42,1.80,-0.23,-0.23,-0.20
