frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,0.07,-3.62,0.06,-0.06,-0.01,-0.15,-3.68,-3.68,-3.68
20.20,-3.58,0.06,-3.58,0.07,-0.07,-0.01,-0.15,-3.65,-3.64,-3.64
20.40,-3.54,0.07,-3.53,0.08,-0.07,-0.01,-0.16,-3.62,-3.61,-3.61
20.61,-3.48,0.09,-3.49,0.08,-0.08,-0.01,-0.16,-3.56,-3.57,-3.57
20.81,-3.43,0.10,-3.44,0.09,-0.09,-0.01,-0.16,-3.52,-3.52,-3.53
21.02,-3.39,0.11,-3.39,0.10,-0.09,-0.01,-0.17,-3.49,-3.48,-3.50
21.23,-3.35,0.09,-3.35,0.10,-0.10,-0.01,-0.17,-3.45,-3.45,-3.44
21.44,-3.30,0.11,-3.31,0.10,-0.11,-0.01,-0.17,-3.41,-3.42,-3.41
21.66,-3.26,0.12,-3.26,0.11,-0.12,-0.01,-0.18,-3.38,-3.38,-3.38
21.87,-3.21,0.11,-3.21,0.12,-0.13,-0.01,-0.18,-3.34,-3.34,-3.32
22.09,-3.15,0.14,-3.15,0.14,-0.14,-0.01,-0.19,-3.30,-3.29,-3.29
22.31,-3.09,0.17,-3.10,0.16,-0.15,-0.01,-0.19,-3.25,-3.25,-3.26
22.54,-3.04,0.18,-3.05,0.17,-0.16,-0.01,-0.20,-3.21,-3.21,-3.22
22.76,-3.01,0.17,-3.01,0.18,-0.17,-0.01,-0.20,-3.19,-3.18,-3.18
22.99,-2.96,0.19,-2.97,0.19,-0.18,-0.01,-0.21,-3.15,-3.15,-3.15
23.22,-2.93,0.20,-2.94,0.19,-0.19,-0.02,-0.21,-3.12,-3.13,-3.13
23.45,-2.90,0.18,-2.90,0.19,-0.19,-0.02,-0.22,-3.10,-3.10,-3.08
23.69,-2.87,0.18,-2.87,0.19,-0.20,-0.02,-0.22,-3.07,-3.07,-3.05
23.92,-2.83,0.21,-2.83,0.20,-0.20,-0.02,-0.23,-3.03,-3.03,-3.04
24.16,-2.78,0.21,-2.79,0.21,-0.20,-0.02,-0.23,-2.99,-3.00,-2.99
24.40,-2.75,0.21,-2.75,0.21,-0.21,-0.02,-0.24,-2.96,-2.96,-2.97
24.65,-2.72,0.21,-2.72,0.21,-0.22,-0.02,-0.24,-2.94,-2.93,-2.94
24.89,-2.67,0.20,-2.68,0.21,-0.22,-0.02,-0.25,-2.90,-2.90,-2.88
25.14,-2.63,0.22,-2.63,0.22,-0.23,-0.02,-0.25,-2.86,-2.86,-2.86
25.39,-2.57,0.24,-2.58,0.24,-0.24,-0.02,-0.26,-2.81,-2.82,-2.82
25.65,-2.52,0.26,-2.53,0.26,-0.25,-0.02,-0.26,-2.77,-2.78,-2.79
25.91,-2.50,0.26,-2.49,0.26,-0.25,-0.02,-0.27,-2.76,-2.75,-2.77
26.16,-2.46,0.26,-2.47,0.27,-0.26,-0.02,-0.27,-2.73,-2.73,-2.72
26.43,-2.43,0.28,-2.44,0.27,-0.27,-0.02,-0.28,-2.71,-2.71,-2.71
26.69,-2.42,0.29,-2.41,0.28,-0.28,-0.02,-0.28,-2.71,-2.69,-2.71
26.96,-2.37,0.29,-2.39,0.29,-0.29,-0.02,-0.28,-2.67,-2.68,-2.66
