frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.24,-3.62,-2.24,2.23,1.98,0.44,-1.39,-1.39,-1.37
20.20,-3.58,-2.21,-3.58,-2.22,2.21,1.96,0.45,-1.37,-1.36,-1.37
20.40,-3.54,-2.20,-3.53,-2.19,2.20,1.93,0.47,-1.35,-1.34,-1.34
20.61,-3.48,-2.16,-3.49,-2.17,2.18,1.91,0.48,-1.31,-1.31,-1.32
20.81,-3.43,-2.12,-3.44,-2.14,2.16,1.88,0.50,-1.28,-1.28,-1.31
21.02,-3.39,-2.13,-3.39,-2.12,2.13,1.85,0.51,-1.26,-1.26,-1.26
21.23,-3.35,-2.09,-3.35,-2.10,2.10,1.83,0.53,-1.25,-1.25,-1.26
21.44,-3.30,-2.08,-3.31,-2.08,2.07,1.80,0.55,-1.23,-1.23,-1.22
21.66,-3.26,-2.05,-3.26,-2.06,2.04,1.77,0.57,-1.22,-1.22,-1.21
21.87,-3.21,-2.04,-3.21,-2.03,2.01,1.75,0.58,-1.20,-1.20,-1.17
22.09,-3.15,-1.98,-3.15,-1.98,1.97,1.72,0.60,-1.18,-1.18,-1.17
22.31,-3.09,-1.92,-3.10,-1.93,1.93,1.69,0.62,-1.16,-1.17,-1.17
22.54,-3.04,-1.87,-3.05,-1.87,1.89,1.66,0.64,-1.16,-1.16,-1.17
22.76,-3.01,-1.84,-3.01,-1.83,1.85,1.64,0.66,-1.17,-1.16,-1.17
22.99,-2.96,-1.79,-2.97,-1.79,1.80,1.61,0.68,-1.16,-1.17,-1.17
23.22,-2.93,-1.76,-2.94,-1.76,1.76,1.58,0.70,-1.17,-1.17,-1.17
23.45,-2.90,-1.73,-2.90,-1.73,1.73,1.55,0.73,-1.18,-1.18,-1.17
23.69,-2.87,-1.70,-2.87,-1.69,1.69,1.53,0.75,-1.18,-1.18,-1.17
23.92,-2.83,-1.66,-2.83,-1.65,1.65,1.50,0.77,-1.18,-1.18,-1.18
24.16,-2.78,-1.61,-2.79,-1.62,1.62,1.47,0.79,-1.17,-1.18,-1.18
24.40,-2.75,-1.58,-2.75,-1.58,1.58,1.45,0.82,-1.18,-1.18,-1.18
24.65,-2.72,-1.55,-2.72,-1.54,1.53,1.42,0.84,-1.19,-1.18,-1.18
24.89,-2.67,-1.50,-2.68,-1.50,1.49,1.40,0.86,-1.18,-1.19,-1.18
25.14,-2.63,-1.46,-2.63,-1.45,1.45,1.37,0.89,-1.19,-1.18,-1.18
25.39,-2.57,-1.39,-2.58,-1.40,1.40,1.34,0.91,-1.17,-1.17,-1.18
25.65,-2.52,-1.35,-2.53,-1.35,1.36,1.32,0.94,-1.16,-1.17,-1.18
25.91,-2.50,-1.32,-2.49,-1.31,1.33,1.29,0.96,-1.18,-1.17,-1.18
26.16,-2.46,-1.28,-2.47,-1.29,1.29,1.27,0.98,-1.17,-1.18,-1.18
26.43,-2.43,-1.25,-2.44,-1.26,1.26,1.25,1.01,-1.18,-1.18,-1.18
26.69,-2.42,-1.25,-2.41,-1.24,1.23,1.22,1.03,-1.19,-1.18,-1.17
26.96,-2.37,-1.20,-2.39,-1.21,1.21,1.20,1.06,-1.17,-1.18,-1.17
27.23,-2.37,-1.20,-2.37,-1.19,1.19,1.17,1.08,-1.19,-1.18,-1.17
27.50,-2.33,-1.15,-2.34,-1.16,1.17,1.15,1.10,-1.16,-1.17,-1.18
27.77,-2.33,-1.16,-2.33,-1.15,1.15,1.13,1.12,-1.18,-1.17,-1.17
28.05,-2.29,-1.12,-2.30,-1.13,1.14,1.11,1.14,-1.16,-1.16,-1.17
28.33,-2.28,-1.14,-2.28,-1.13,1.12,1.08,1.16,-1.16,-1.15,-1.15
28.62,-2.24,-1.12,-2.24,-1.12,1.11,1.06,1.18,-1.14,-1.14,-1.13
28.90,-2.20,-1.12,-2.21,-1.11,1.10,1.04,1.19,-1.11,-1.12,-1.09
29.19,-2.18,-1.10,-2.18,-1.09,1.09,1.02,1.21,-1.09,-1.08,-1.09
29.48,-2.14,-1.07,-2.14,-1.08,1.09,1.00,1.22,-1.05,-1.05,-1.07
29.78,-2.09,-1.07,-2.10,-1.08,1.10,0.98,1.24,-1.00,-1.00,-1.02
30.08,-2.05,-1.08,-2.05,-1.08,1.10,0.96,1.25,-0.95,-0.95,-0.97
30.38,-2.00,-1.11,-2.01,-1.10,1.12,0.94,1.26,-0.89,-0.89,-0.89
30.68,-1.96,-1.12,-1.96,-1.13,1.13,0.92,1.26,-0.83,-0.83,-0.84
30.99,-1.91,-1.16,-1.92,-1.16,1.14,0.90,1.27,-0.77,-0.77,-0.76
31.30,-1.87,-1.19,-1.87,-1.17,1.16,0.88,1.27,-0.72,-0.72,-0.69
31.61,-1.83,-1.17,-1.83,-1.18,1.16,0.87,1.27,-0.67,-0.67,-0.67
31.93,-1.80,-1.17,-1.81,-1.17,1.16,0.85,1.28,-0.64,-0.64,-0.64
32.24,-1.77,-1.15,-1.78,-1.16,1.16,0.83,1.27,-0.62,-0.62,-0.62
32.57,-1.76,-1.15,-1.75,-1.14,1.14,0.81,1.27,-0.62,-0.61,-0.61
32.89,-1.72,-1.11,-1.72,-1.11,1.12,0.80,1.26,-0.61,-0.61,-0.61
33.22,-1.68,-1.07,-1.69,-1.08,1.08,0.78,1.26,-0.60,-0.61,-0.61
33.55,-1.65,-1.04,-1.66,-1.05,1.04,0.76,1.25,-0.61,-0.62,-0.62
33.89,-1.64,-1.02,-1.64,-1.00,1.00,0.75,1.24,-0.65,-0.65,-0.63
34.23,-1.64,-0.97,-1.63,-0.95,0.94,0.73,1.23,-0.70,-0.68,-0.68
34.57,-1.59,-0.87,-1.60,-0.89,0.89,0.72,1.22,-0.71,-0.72,-0.72
34.92,-1.57,-0.83,-1.58,-0.83,0.83,0.70,1.20,-0.75,-0.75,-0.74
