frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.27,-3.62,-3.27,3.27,3.06,1.24,-0.34,-0.35,-0.34
20.20,-3.58,-3.25,-3.58,-3.26,3.26,3.06,1.28,-0.32,-0.32,-0.33
20.40,-3.54,-3.26,-3.53,-3.25,3.25,3.06,1.32,-0.29,-0.28,-0.28
20.61,-3.48,-3.23,-3.49,-3.24,3.24,3.06,1.36,-0.25,-0.25,-0.25
20.81,-3.43,-3.21,-3.44,-3.22,3.22,3.06,1.40,-0.21,-0.21,-0.22
21.02,-3.39,-3.22,-3.39,-3.21,3.21,3.06,1.44,-0.18,-0.18,-0.17
21.23,-3.35,-3.20,-3.35,-3.21,3.20,3.07,1.49,-0.15,-0.15,-0.15
21.44,-3.30,-3.20,-3.31,-3.20,3.19,3.07,1.53,-0.11,-0.12,-0.10
21.66,-3.26,-3.19,-3.26,-3.19,3.17,3.07,1.58,-0.09,-0.09,-0.07
21.87,-3.21,-3.17,-3.21,-3.17,3.16,3.07,1.63,-0.05,-0.05,-0.04
22.09,-3.15,-3.15,-3.15,-3.15,3.15,3.07,1.68,-0.00,-0.00,-0.00
22.31,-3.09,-3.13,-3.10,-3.13,3.14,3.08,1.73,0.05,0.04,0.04
22.54,-3.04,-3.10,-3.05,-3.12,3.13,3.08,1.79,0.09,0.09,0.06
22.76,-3.01,-3.13,-3.01,-3.12,3.13,3.08,1.84,0.12,0.13,0.12
22.99,-2.96,-3.13,-2.97,-3.13,3.13,3.08,1.90,0.17,0.16,0.16
23.22,-2.93,-3.14,-2.94,-3.14,3.14,3.08,1.95,0.20,0.20,0.20
23.45,-2.90,-3.16,-2.90,-3.15,3.15,3.08,2.01,0.24,0.24,0.25
23.69,-2.87,-3.16,-2.87,-3.16,3.16,3.08,2.07,0.28,0.29,0.28
23.92,-2.83,-3.18,-2.83,-3.17,3.16,3.09,2.13,0.33,0.33,0.34
24.16,-2.78,-3.16,-2.79,-3.17,3.17,3.09,2.19,0.38,0.37,0.37
24.40,-2.75,-3.17,-2.75,-3.17,3.16,3.09,2.26,0.41,0.41,0.41
24.65,-2.72,-3.18,-2.72,-3.17,3.16,3.09,2.32,0.43,0.44,0.45
24.89,-2.67,-3.16,-2.68,-3.16,3.15,3.09,2.39,0.48,0.47,0.48
25.14,-2.63,-3.14,-2.63,-3.14,3.14,3.09,2.45,0.51,0.51,0.51
25.39,-2.57,-3.12,-2.58,-3.12,3.13,3.09,2.52,0.56,0.55,0.55
25.65,-2.52,-3.10,-2.53,-3.11,3.12,3.09,2.58,0.59,0.58,0.58
25.91,-2.50,-3.10,-2.49,-3.10,3.11,3.10,2.65,0.60,0.62,0.60
26.16,-2.46,-3.10,-2.47,-3.10,3.10,3.10,2.72,0.64,0.63,0.64
26.43,-2.43,-3.08,-2.44,-3.09,3.10,3.10,2.78,0.66,0.66,0.65
